"V1","V2","V3","V4","V5","V6","V7","V8"
0,1,5,5,1,3,677.823260887331,700.904550262603
0,1,0,0,1,4,1235.67034292392,702.508091894006
0,1,1,0,1,4,871.054696130818,679.790223860344
0,1,2,0,1,4,853.317258847976,681.047425654309
0,1,3,0,1,4,849.96852649368,684.150330546628
0,1,4,0,1,4,836.033074637411,686.357167801806
0,1,5,0,1,4,773.193799700536,689.448827718443
0,1,0,1,1,4,1180.15727836885,702.720425066874
0,1,1,1,1,4,817.570804218119,680.762653965302
0,1,2,1,1,4,829.638619513702,682.936903225147
0,1,3,1,1,4,826.431960464482,686.279547133316
0,1,4,1,1,4,785.288235982905,688.921931460061
0,1,5,1,1,4,750.28562571042,690.358227278363
0,1,0,2,1,4,1106.25906484312,704.244479454688
0,1,1,2,1,4,824.499342420168,683.647732178959
0,1,2,2,1,4,818.074549130015,685.692293519111
0,1,3,2,1,4,812.893683928483,689.21935952254
0,1,4,2,1,4,783.210027607552,691.961483908927
0,1,5,2,1,4,758.860775379461,693.753257756771
0,1,0,3,1,4,1004.71434874982,705.92802444779
0,1,1,3,1,4,708.854032663379,684.270115710089
0,1,2,3,1,4,697.628186061808,687.113652734477
0,1,3,3,1,4,695.723289639711,690.904590305842
0,1,4,3,1,4,693.981791606052,694.871127156145
0,1,5,3,1,4,689.03665210201,696.317698097083
0,1,0,4,1,4,977.869514712539,709.073066122923
0,1,1,4,1,4,714.088234017946,687.841048241337
0,1,2,4,1,4,710.734564459113,690.884345048715
0,1,3,4,1,4,714.172890171487,694.68887218987
0,1,4,4,1,4,674.874328524502,699.11831385297
0,1,5,4,1,4,677.121747501054,700.990605267671
0,1,0,5,1,4,985.115620462108,712.686091252627
0,1,1,5,1,4,717.665465556938,691.59476524611
0,1,2,5,1,4,652.937516532795,693.723057910958
0,1,3,5,1,4,636.764516044854,697.020513534595
0,1,4,5,1,4,585.400169801091,701.239611489538
0,1,5,5,1,4,494.56661470273,702.489853830481
0,1,0,0,1,5,1233.90673765065,705.28093191936
0,1,1,0,1,5,871.233263237376,682.743992660093
0,1,2,0,1,5,856.933008622351,684.144375424448
0,1,3,0,1,5,855.055270839014,687.43320404453
0,1,4,0,1,5,826.94729661325,690.416037018447
0,1,5,0,1,5,829.783389609893,693.192086740568
0,1,0,1,1,5,1124.50146036339,704.716688988281
0,1,1,1,1,5,817.849950296803,683.280478194905
0,1,2,1,1,5,799.351221737237,684.987641244194
0,1,3,1,1,5,801.202634940545,688.118782945868
0,1,4,1,1,5,785.402986795306,692.162293297461
0,1,5,1,1,5,649.062795665451,693.037106975846
0,1,0,2,1,5,1074.48738140028,706.91276743063
0,1,1,2,1,5,785.262672014373,686.070144093841
0,1,2,2,1,5,748.280205117522,688.355435314995
0,1,3,2,1,5,774.027383419335,691.811139812999
0,1,4,2,1,5,727.159096797615,695.576027726038
0,1,5,2,1,5,652.819039338174,697.461560747479
0,1,0,3,1,5,1000.76319136226,709.251902310193
0,1,1,3,1,5,709.920180378726,687.856908361408
0,1,2,3,1,5,699.931212297286,690.943972547338
0,1,3,3,1,5,695.198008811986,695.004247606446
0,1,4,3,1,5,705.213037393773,699.246053108922
0,1,5,3,1,5,485.729886998781,699.052189992067
0,1,0,4,1,5,741.929932096799,711.497587116457
0,1,1,4,1,5,716.174432694403,691.682178985677
0,1,2,4,1,5,707.970163262642,694.978063483832
0,1,3,4,1,5,680.415689723879,699.005367485501
0,1,4,4,1,5,660.598487770574,703.689903717161
0,1,5,4,1,5,491.917499374085,703.510628758628
0,1,0,5,1,5,756.830116024751,713.313475792936
0,1,1,5,1,5,568.244581879844,693.285838609579
0,1,2,5,1,5,539.538675132411,696.119569597684
0,1,3,5,1,5,544.334736323773,700.197134197294
0,1,4,5,1,5,501.793548096199,704.492034054746
0,1,5,5,1,5,453.229445078633,707.397931790343
